, Гарантия от продавца , Тип , Модель , Год релиза , Цвет задней панели , Цвет передней панели , Цвет граней ," Цвет, заявленный производителем ", Поддержка сетей 2G , Поддержка сетей 3G , Поддержка сетей 4G (LTE) , Диапазоны частот LTE , Поддержка сетей 5G , Диапазоны частот 5G , Формат SIM-карт , Количество физических SIM-карт , Поддержка eSIM , Диагональ экрана (дюйм) , Разрешение экрана , Плотность пикселей , Технология изготовления экрана , Количество цветов экрана , Конструктивные особенности экрана , Материал корпуса , Защищенность , Вид защитного покрытия , Степень защиты IP , Операционная система , Версия ОС , Производитель процессора , Модель процессора , Количество ядер , Частота работы процессора , Техпроцесс , Графический ускоритель , Объем встроенной памяти , Слот для карты памяти , Датчики , Количество основных (тыловых) камер , Количество мегапикселей основной камеры , Модель сенсора основной камеры , Апертура основной камеры , Автофокусировка основной камеры , Оптическая стабилизация , Зум (фото) , Рейтинг DxOMark (основная камера) , Особенности и технологии тыловой оптики , Режимы и функции фотосъемки , Формат видеосъемки , Разрешение видео и частота кадров , Замедленная видеосъемка , Зум (видео) , Форматы воспроизведения видео , Особенности и функции видеосъемки , Двойная фронтальная камера , Количество мегапикселей фронтальной камеры , Модель сенсора фронтальной камеры , Апертура фронтальной камеры , Автофокусировка , Разрешение видеосъемки , Рейтинг DxOMark (селфи-камера) , Особенности и технологии фронтальной оптики , Режимы и функции съемки , Стереодинамики , Форматы аудиофайлов , Версия Bluetooth , Стандарт Wi-Fi , NFC , Системы навигации , ИК-порт , Интерфейс , Разъем для наушников , Наушники в комплекте , Зарядное устройство в комплекте , Комплектация , Биометрическая защита ," Особенности, дополнительно ", Тип аккумулятора , Съемный аккумулятор , Поддержка быстрой зарядки , Поддержка беспроводной зарядки , Время работы при прослушивании музыки , Время работы при воспроизведении видео , Ширина , Высота , Толщина , Вес , Гарантия от производителя , Код производителя , Поддержка 4G LTE-Advanced , Режим работы нескольких SIM-карт , Соотношение сторон , Частота обновления экрана , Поддержка Google Mobile Services , Конфигурация процессора , Объем оперативной памяти , Типы поддерживаемых карт памяти , Максимальный объем карты памяти , FM радио , Тип вспышки , Встроенная вспышка , Отдельный ЦАП , Прочие технологии передачи данных , Поддержка OTG , LED-индикатор уведомлений , Емкость аккумулятора , Выходная мощность ЗУ , Страна-производитель , Напряжение питания ЗУ , Время работы в режиме разговора , Разрешение снимков , Время работы в режиме ожидания , Поддержка кодеков Bluetooth , Поддержка VoLTE , Поддержка MHL , Категории скорости LTE-Advanced , Особенности конструкции , Интерполированное разрешение основной камеры , Гарантия АСЦ , Интерполированное разрешение фронтальной камеры 
0,12мес.,смартфон,AppleiPhone13,2021,черный,черный,черный,тёмнаяночь,"GSM900,GSM1800,GSM1900,GSM850","UMTS900,UMTS2100,UMTS850,UMTS1900",есть,"LTE2600(B7),LTE700(B12),LTE700(B28),LTE800(B20),LTE2100(B1),LTE900(B8),LTE1800(B3),LTE1900(B2),LTE850(B5),LTE700(B17),LTE700(B13),LTE2300(B30),LTE800(B19),LTE800(B18),LTE800(B26),LTE1900(B25),LTE1700/2100(B66),LTE1700(B4),LTE1500(B32)",есть,"FDD2100MHz(B1),FDD1800MHz(B3),FDD850MHz(B5),FDD2600MHz(B7),FDD900MHz(B8),FDD800MHz(B20),FDD700MHz(B28),TDD2600MHz(B38),TDD2300MHz(B40),TDD2500MHz(B41),TDD3700MHz(B77),TDD3500MHz(B78),FDD1700/2100MHz(B66),TDD4700MHz(B79),FDD1900MHz(B2),FDD700MHz(B12),FDD1900MHz(B25),FDD2300MHz(B30),TDD3500MHz(B48)",Nano-SIM(12.3x8.8x0.67мм),2SIM,нет,"6.1""",2532х1170,457ppi,OLED,16.7млн,Перечисление,Перечисление,Перечисление,CeramicShield,IP68,iOS,iOS15,Apple,AppleA15Bionic,6,"1.8ГГц,3.2ГГц",5нм,AppleGPU,128ГБ,нет,Перечисление,2,12+12Мп,"SonyIMX603,SonyIMX372","2.4,1.6",есть,есть,"5-кратныйцифровойзум,2-кратныйоптическийзумнауменьшение",125,Перечисление,Перечисление,"HD,FullHD,UltraHD4K","1280x720(30кадр./сек.),3840x2160(60кадр./сек.),1920x1080(60кадр./сек.)","1920x1080(240кадр./сек.),1920x1080(120кадр./сек.)","3-кратныйцифровойзум,2-кратныйоптическийзумнауменьшение","H.264,HEVC",Перечисление,нет,12Мп,SonyIMX514,2.2,есть,"1920x1080(60кадр./сек.),3840×2160(60кадр./сек.)",134,Перечисление,Перечисление,есть,"MP3,AAC,FLAC,PCM,AAC‑LC,HE‑AAC,HE‑AACv2,AppleLossless",5.0,Перечисление,есть,"ГЛОНАСС,GPS,A-GPS,BeiDou,Galileo,QZSS",нет,Lightning8-pin,Lightning8-pin,нет,нет,"документация,скрепкадляизвлеченияслотаSIM-карты,кабельLightning",распознаваниелица,Перечисление,Li-Ion,нет,есть,есть,75ч,19ч,71.5мм,146.7мм,7.7мм,173г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12мес.,смартфон,AppleiPhone13,2021,белый,черный,белый,сияющаязвезда,"GSM900,GSM1800,GSM1900,GSM850","UMTS900,UMTS2100,UMTS850,UMTS1900",есть,"LTE2600(B7),LTE700(B12),LTE700(B28),LTE800(B20),LTE2100(B1),LTE900(B8),LTE1800(B3),LTE1900(B2),LTE850(B5),LTE700(B17),LTE700(B13),LTE2300(B30),LTE800(B19),LTE800(B18),LTE800(B26),LTE1900(B25),LTE1700/2100(B66),LTE1700(B4),LTE1500(B32)",есть,"FDD2100MHz(B1),FDD1800MHz(B3),FDD850MHz(B5),FDD2600MHz(B7),FDD900MHz(B8),FDD800MHz(B20),FDD700MHz(B28),TDD2600MHz(B38),TDD2300MHz(B40),TDD2500MHz(B41),TDD3700MHz(B77),TDD3500MHz(B78),FDD1700/2100MHz(B66),TDD4700MHz(B79),FDD1900MHz(B2),FDD700MHz(B12),FDD1900MHz(B25),FDD2300MHz(B30),TDD3500MHz(B48)",Nano-SIM(12.3x8.8x0.67мм),2SIM,нет,"6.1""",2532х1170,457ppi,OLED,16.7млн,Перечисление,Перечисление,Перечисление,CeramicShield,IP68,iOS,iOS15,Apple,AppleA15Bionic,6,"1.8ГГц,3.2ГГц",5нм,AppleGPU,128ГБ,нет,Перечисление,2,12+12Мп,"SonyIMX603,SonyIMX372","2.4,1.6",есть,есть,"5-кратныйцифровойзум,2-кратныйоптическийзумнауменьшение",130,Перечисление,Перечисление,"HD,FullHD,UltraHD4K","1280x720(30кадр./сек.),3840x2160(60кадр./сек.),1920x1080(60кадр./сек.)","1920x1080(240кадр./сек.),1920x1080(120кадр./сек.)","3-кратныйцифровойзум,2-кратныйоптическийзумнауменьшение","H.264,HEVC",Перечисление,нет,12Мп,SonyIMX514,2.2,есть,"1920x1080(60кадр./сек.),3840×2160(60кадр./сек.)",99,Перечисление,Перечисление,есть,"MP3,AAC,FLAC,PCM,AAC‑LC,HE‑AAC,HE‑AACv2,AppleLossless",5.0,Перечисление,есть,"ГЛОНАСС,GPS,A-GPS,BeiDou,Galileo,QZSS",нет,Lightning8-pin,Lightning8-pin,нет,нет,"документация,скрепкадляизвлеченияслотаSIM-карты,кабельLightning",распознаваниелица,Перечисление,Li-Ion,нет,есть,есть,75ч,19ч,71.5мм,146.7мм,7.7мм,173г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,смартфон,XiaomiRedmiNote10Pro,2021,серый,черный,серый,серыйоникс,"GSM900,GSM1800,GSM1900,GSM850","WCDMA2100,WCDMA900,WCDMA850,WCDMA1900",есть,"LTE2600(B7),LTE2300(B40),LTE700(B28),LTE800(B20),LTE2100(B1),LTE900(B8),LTE1800(B3),LTE2600(B38),LTE2500(B41),LTE1900(B2),LTE850(B5),LTE1700(B4),LTE1500(B32)",нет,,Nano-SIM(12.3x8.8x0.67мм),2SIM,нет,"6.67""",2400x1080,395ppi,AMOLED,,безрамочный,Перечисление,"защитаотпылиивлаги,защитноепокрытиеэкранаотцарапин",CorningGorillaGlass5,IP53,Android,Android11,Qualcomm,Snapdragon732G,8,"2.3ГГц,1.8ГГц",8нм,Adreno618,128ГБ,есть(отдельныйслот),Перечисление,4,108+8+5+2Мп,"GalaxyCoreGC02M1B,SamsungHM2,SonyIMX355,OmniVisionOV5675","2.2,2.4,1.9",есть,нет,,106,уголобзора118°,"6режимовсъемкисдлиннойвыдержкой,ночнойрежим2.0,режим108Мп","FullHD,UltraHD4K","1920x1080(30кадр./сек.),3840x2160(30кадр./сек.),1920x1080(60кадр./сек.)",,,,Перечисление,нет,16Мп,SonyIMX471,2.45,нет,"1920x1080(30кадр./сек.),1280x720(30кадр./сек.),1280x720(120кадр./сек.)",,,Перечисление,есть,,5.1,Перечисление,есть,"ГЛОНАСС,GPS,A-GPS,BeiDou,Galileo",есть,USBType-C,MiniJack3.5мм,нет,есть,"чехол,документация,зарядноеустройство,скрепкадляизвлеченияслотаSIM-карты,кабельUSBType-C,защитнаяпленка(наклеенанаэкран)","распознаваниелица,сканеротпечатковпальцев(сбокукорпуса)",Перечисление,Li-polymer,нет,TurboCharge,нет,,,76.5мм,164мм,8.1мм,193г,12мес.,[MZB08YIRU],есть,режиможидания,20:9,120Гц,есть,"6xKryo470(Cortex-A55)1.8ГГц,2xKryo470(Cortex-A76)2.3ГГц",8Гб,Перечисление,1024ГБ,есть,светодиодная,нет,нет,Wi-FiDirect,есть,нет,5020мА*ч,33Вт,,,,,,,,,,,,,
3,12мес.,смартфон,AppleiPhone14ProMax,2022,фиолетовый,черный,фиолетовый,фиолетовый,"GSM900,GSM1800,GSM1900,GSM850","UMTS2100,UMTS1900,UMTS900,UMTS850",есть,"LTE1900(B39),LTE2600(B7),LTE2300(B40),LTE700(B12),LTE700(B28),LTE800(B20),LTE2100(B1),LTE900(B8),LTE1800(B3),LTE2600(B38),LTE2500(B41),LTE1900(B2),LTE850(B5),LTE700(B17),LTE700(B13),LTE2300(B30),LTE800(B19),LTE800(B29),LTE800(B18),LTE800(B26),LTE1900(B25),LTE1700/2100(B66),LTE2000(B34),LTE1700(B4),LTE1500(B32),LTE3500(B42)",есть,,Nano-SIM(12.3x8.8x0.67мм),1SIM,есть,"6.7""",2796х1290,460ppi,OLED,,безрамочный,Перечисление,Перечисление,CeramicShield,IP68,iOS,iOS16,Apple,AppleA16Bionic,6,,4нм,AppleGPU,256ГБ,нет,Перечисление,3,48+12+12Мп,"SonyIMX713,SonyIMX590,SonyIMX803,SonyIMX633","2.2,1.78,2.8",есть,есть,"3-кратныйоптическийзум,2-кратныйоптическийзум,15-кратныйцифровойзум",146,Перечисление,Перечисление,"HD,FullHD,UltraHD4K","1920x1080(30кадр./сек.),1280x720(30кадр./сек.),3840x2160(30кадр./сек.),3840x2160(60кадр./сек.),1920x1080(60кадр./сек.),3840x2160(24кадр./сек.),3840x2160(25кадр./сек.)","1920x1080(240кадр./сек.),1920x1080(120кадр./сек.)","2-кратныйоптическийзум,3-кратныйоптическийзум,9-кратныйцифровойзум,6-кратныйоптическийзум","H.264,HEVC",Перечисление,нет,12Мп,SonyIMX714,1.9,есть,"1920x1080(30кадр./сек.),1920x1080(60кадр./сек.),3840×2160(30кадр./сек.),3840×2160(60кадр./сек.),1920x1080(120кадр./сек.)",,,Перечисление,есть,"MP3,AAC,FLAC,AppleLossless",5.3,Перечисление,есть,"ГЛОНАСС,GPS,A-GPS,BeiDou,Galileo,QZSS",нет,Lightning8-pin,Lightning8-pin,нет,нет,"документация,кабельLightning",распознаваниелица,Перечисление,Li-Ion,,,есть,95ч,29ч,77.6мм,160.7мм,7.85мм,240г,,[MQ9E3J/A],,,,120Гц,,,,,,,светодиодная,,,,,,,,Китай,нетЗУвкомплекте,,,,,,,,,,,
4,12мес.,смартфон,AppleiPhone14ProMax,2022,фиолетовый,черный,фиолетовый,фиолетовый,"GSM900,GSM1800,GSM1900,GSM850","UMTS2100,UMTS1900,UMTS900,UMTS850",есть,"LTE1900(B39),LTE2600(B7),LTE2300(B40),LTE700(B12),LTE700(B28),LTE800(B20),LTE2100(B1),LTE900(B8),LTE1800(B3),LTE2600(B38),LTE2500(B41),LTE1900(B2),LTE850(B5),LTE700(B17),LTE700(B13),LTE2300(B30),LTE800(B19),LTE800(B29),LTE800(B18),LTE800(B26),LTE1900(B25),LTE1700/2100(B66),LTE2000(B34),LTE1700(B4),LTE1500(B32),LTE3500(B42)",есть,,Nano-SIM(12.3x8.8x0.67мм),2SIM,нет,"6.7""",2796х1290,460ppi,OLED,,безрамочный,Перечисление,Перечисление,CeramicShield,IP68,iOS,iOS16,Apple,AppleA16Bionic,6,,4нм,AppleGPU,256ГБ,нет,Перечисление,3,48+12+12Мп,"SonyIMX713,SonyIMX590,SonyIMX803,SonyIMX633","2.2,1.78,2.8",есть,есть,"3-кратныйоптическийзум,2-кратныйоптическийзум,15-кратныйцифровойзум",146,Перечисление,Перечисление,"HD,FullHD,UltraHD4K","1920x1080(30кадр./сек.),1280x720(30кадр./сек.),3840x2160(30кадр./сек.),3840x2160(60кадр./сек.),1920x1080(60кадр./сек.),3840x2160(24кадр./сек.),3840x2160(25кадр./сек.)","1920x1080(240кадр./сек.),1920x1080(120кадр./сек.)","2-кратныйоптическийзум,3-кратныйоптическийзум,9-кратныйцифровойзум,6-кратныйоптическийзум","H.264,HEVC",Перечисление,нет,12Мп,SonyIMX714,1.9,есть,"1920x1080(30кадр./сек.),1920x1080(60кадр./сек.),3840×2160(30кадр./сек.),3840×2160(60кадр./сек.),1920x1080(120кадр./сек.)",,,Перечисление,есть,"MP3,AAC,FLAC,AppleLossless",5.3,Перечисление,есть,"ГЛОНАСС,GPS,A-GPS,BeiDou,Galileo,QZSS",нет,Lightning8-pin,Lightning8-pin,нет,нет,"документация,кабельLightning",распознаваниелица,Перечисление,Li-Ion,,,есть,95ч,29ч,77.6мм,160.7мм,7.85мм,240г,,,,,,120Гц,,,,,,,светодиодная,,,,,,,,Китай,нетЗУвкомплекте,,,,,,,,,,,
5,12мес.,смартфон,AppleiPhone13ProMax,2021,голубой,черный,голубой,небесно-голубой,"GSM900,GSM1800,GSM1900,GSM850","UMTS900,UMTS2100,UMTS850,UMTS1900",есть,"LTE2600(B7),LTE700(B12),LTE700(B28),LTE800(B20),LTE2100(B1),LTE900(B8),LTE1800(B3),LTE1900(B2),LTE850(B5),LTE700(B17),LTE700(B13),LTE2300(B30),LTE800(B19),LTE800(B18),LTE800(B26),LTE1900(B25),LTE1700/2100(B66),LTE1700(B4),LTE1500(B32)",есть,"FDD2100MHz(B1),FDD1800MHz(B3),FDD850MHz(B5),FDD2600MHz(B7),FDD900MHz(B8),FDD800MHz(B20),FDD700MHz(B28),TDD2600MHz(B38),TDD2300MHz(B40),TDD2500MHz(B41),TDD3700MHz(B77),TDD3500MHz(B78),FDD1700/2100MHz(B66),TDD4700MHz(B79),FDD1900MHz(B2),FDD700MHz(B12),FDD1900MHz(B25),FDD2300MHz(B30),TDD3500MHz(B48)",Nano-SIM(12.3x8.8x0.67мм),1SIM,есть,"6.7""",2778×1284,458ppi,OLED,16.7млн,Перечисление,Перечисление,Перечисление,CeramicShield,IP68,iOS,iOS15,Apple,AppleA15Bionic,6,"1.8ГГц,3.2ГГц",5нм,AppleGPU,128ГБ,нет,Перечисление,3,12+12+12Мп,"SonyIMX703,SonyIMX772,SonyIMX713,SonyIMX590","1.8,1.5,2.8",есть,есть,"3-кратныйоптическийзум,2-кратныйоптическийзумнауменьшение,15-кратныйцифровойзум",137,Перечисление,Перечисление,"HD,FullHD,UltraHD4K","1280x720(30кадр./сек.),3840x2160(60кадр./сек.),1920x1080(60кадр./сек.)",1920x1080(240кадр./сек.),"2-кратныйоптическийзумнауменьшение,3-кратныйоптическийзум,9-кратныйцифровойзум","H.264,HEVC",Перечисление,нет,12Мп,SonyIMX514,2.2,есть,"1920x1080(60кадр./сек.),3840×2160(60кадр./сек.),1920x1080(120кадр./сек.)",134,Перечисление,Перечисление,есть,"MP3,AAC,FLAC,PCM,AAC‑LC,HE‑AAC,HE‑AACv2,AppleLossless",5.0,Перечисление,есть,"ГЛОНАСС,GPS,A-GPS,BeiDou,Galileo,QZSS",нет,Lightning8-pin,Lightning8-pin,нет,нет,"документация,скрепкадляизвлеченияслотаSIM-карты,кабельLightning",распознаваниелица,Перечисление,Li-Ion,нет,есть,есть,95ч,28ч,78.1мм,160.8мм,7.7мм,238г,,,,,,120Гц,,,,,,,,,,,,,,,Китай,,,,,,,,,,,,
6,12мес.,смартфон,AppleiPhone14Pro,2022,фиолетовый,черный,фиолетовый,фиолетовый,"GSM900,GSM1800,GSM1900,GSM850","UMTS2100,UMTS1900,UMTS900,UMTS850",есть,"LTE1900(B39),LTE2600(B7),LTE2300(B40),LTE700(B12),LTE700(B28),LTE800(B20),LTE2100(B1),LTE900(B8),LTE1800(B3),LTE2600(B38),LTE2500(B41),LTE1900(B2),LTE850(B5),LTE700(B17),LTE700(B13),LTE2300(B30),LTE800(B19),LTE800(B29),LTE800(B18),LTE800(B26),LTE1900(B25),LTE1700/2100(B66),LTE2000(B34),LTE1700(B4),LTE1500(B32),LTE3500(B42)",есть,,Nano-SIM(12.3x8.8x0.67мм),2SIM,нет,"6.1""",2556х1179,460ppi,OLED,,безрамочный,Перечисление,Перечисление,CeramicShield,IP68,iOS,iOS16,Apple,AppleA16Bionic,6,,4нм,AppleGPU,256ГБ,нет,Перечисление,3,48+12+12Мп,"SonyIMX713,SonyIMX590,SonyIMX803,SonyIMX633","2.2,1.78,2.8",есть,есть,"3-кратныйоптическийзум,2-кратныйоптическийзум,15-кратныйцифровойзум",146,Перечисление,Перечисление,"HD,FullHD,UltraHD4K","1920x1080(30кадр./сек.),1280x720(30кадр./сек.),3840x2160(30кадр./сек.),3840x2160(60кадр./сек.),1920x1080(60кадр./сек.),3840x2160(24кадр./сек.),3840x2160(25кадр./сек.)","1920x1080(240кадр./сек.),1920x1080(120кадр./сек.)","2-кратныйоптическийзум,3-кратныйоптическийзум,9-кратныйцифровойзум,6-кратныйоптическийзум","H.264,HEVC",Перечисление,нет,12Мп,SonyIMX714,1.9,есть,"1920x1080(30кадр./сек.),1920x1080(60кадр./сек.),3840×2160(30кадр./сек.),3840×2160(60кадр./сек.),1920x1080(120кадр./сек.)",145,,Перечисление,есть,"MP3,AAC,FLAC,AppleLossless",5.3,Перечисление,есть,"ГЛОНАСС,GPS,A-GPS,BeiDou,Galileo,QZSS",нет,Lightning8-pin,Lightning8-pin,нет,нет,"документация,кабельLightning",распознаваниелица,Перечисление,Li-Ion,,,есть,75ч,23ч,71.5мм,147.5мм,7.85мм,206г,,,,,,120Гц,,,,,,,светодиодная,,,,,,,,Китай,нетЗУвкомплекте,,,,,,,,,,,
7,12мес.,смартфон,AppleiPhone13,2021,белый,черный,белый,сияющаязвезда,"GSM900,GSM1800,GSM1900,GSM850","UMTS900,UMTS2100,UMTS850,UMTS1900",есть,"LTE2600(B7),LTE700(B12),LTE700(B28),LTE800(B20),LTE2100(B1),LTE900(B8),LTE1800(B3),LTE1900(B2),LTE850(B5),LTE700(B17),LTE700(B13),LTE2300(B30),LTE800(B19),LTE800(B18),LTE800(B26),LTE1900(B25),LTE1700/2100(B66),LTE1700(B4),LTE1500(B32)",есть,"FDD2100MHz(B1),FDD1800MHz(B3),FDD850MHz(B5),FDD2600MHz(B7),FDD900MHz(B8),FDD800MHz(B20),FDD700MHz(B28),TDD2600MHz(B38),TDD2300MHz(B40),TDD2500MHz(B41),TDD3700MHz(B77),TDD3500MHz(B78),FDD1700/2100MHz(B66),TDD4700MHz(B79),FDD1900MHz(B2),FDD700MHz(B12),FDD1900MHz(B25),FDD2300MHz(B30),TDD3500MHz(B48)",Nano-SIM(12.3x8.8x0.67мм),2SIM,нет,"6.1""",2532х1170,457ppi,OLED,16.7млн,Перечисление,Перечисление,Перечисление,CeramicShield,IP68,iOS,iOS15,Apple,AppleA15Bionic,6,"1.8ГГц,3.2ГГц",5нм,AppleGPU,256ГБ,нет,Перечисление,2,12+12Мп,"SonyIMX603,SonyIMX372","2.4,1.6",есть,есть,"5-кратныйцифровойзум,2-кратныйоптическийзумнауменьшение",125,Перечисление,Перечисление,"HD,FullHD,UltraHD4K","1280x720(30кадр./сек.),3840x2160(60кадр./сек.),1920x1080(60кадр./сек.)","1920x1080(240кадр./сек.),1920x1080(120кадр./сек.)","3-кратныйцифровойзум,2-кратныйоптическийзумнауменьшение","H.264,HEVC",Перечисление,нет,12Мп,SonyIMX514,2.2,есть,"1920x1080(60кадр./сек.),3840×2160(60кадр./сек.)",134,Перечисление,Перечисление,есть,"MP3,AAC,FLAC,PCM,AAC‑LC,HE‑AAC,HE‑AACv2,AppleLossless",5.0,Перечисление,есть,"ГЛОНАСС,GPS,A-GPS,BeiDou,Galileo,QZSS",нет,Lightning8-pin,Lightning8-pin,нет,нет,"документация,скрепкадляизвлеченияслотаSIM-карты,кабельLightning",распознаваниелица,Перечисление,Li-Ion,нет,есть,есть,75ч,19ч,71.5мм,146.7мм,7.7мм,173г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12мес.,смартфон,AppleiPhone13,2021,зеленый,черный,зеленый,зеленый,"GSM900,GSM1800,GSM1900,GSM850","UMTS900,UMTS2100,UMTS850,UMTS1900",есть,"LTE2600(B7),LTE700(B12),LTE700(B28),LTE800(B20),LTE2100(B1),LTE900(B8),LTE1800(B3),LTE1900(B2),LTE850(B5),LTE700(B17),LTE700(B13),LTE2300(B30),LTE800(B19),LTE800(B18),LTE800(B26),LTE1900(B25),LTE1700/2100(B66),LTE1700(B4),LTE1500(B32)",есть,"FDD2100MHz(B1),FDD1800MHz(B3),FDD850MHz(B5),FDD2600MHz(B7),FDD900MHz(B8),FDD800MHz(B20),FDD700MHz(B28),TDD2600MHz(B38),TDD2300MHz(B40),TDD2500MHz(B41),TDD3700MHz(B77),TDD3500MHz(B78),FDD1700/2100MHz(B66),TDD4700MHz(B79),FDD1900MHz(B2),FDD700MHz(B12),FDD1900MHz(B25),FDD2300MHz(B30),TDD3500MHz(B48)",Nano-SIM(12.3x8.8x0.67мм),2SIM,нет,"6.1""",2532х1170,457ppi,OLED,16.7млн,Перечисление,Перечисление,Перечисление,CeramicShield,IP68,iOS,iOS15,Apple,AppleA15Bionic,6,"1.8ГГц,3.2ГГц",5нм,AppleGPU,128ГБ,нет,Перечисление,2,12+12Мп,"SonyIMX603,SonyIMX372","2.4,1.6",есть,есть,"5-кратныйцифровойзум,2-кратныйоптическийзумнауменьшение",125,Перечисление,Перечисление,"HD,FullHD,UltraHD4K","1280x720(30кадр./сек.),3840x2160(60кадр./сек.),1920x1080(60кадр./сек.)","1920x1080(240кадр./сек.),1920x1080(120кадр./сек.)","3-кратныйцифровойзум,2-кратныйоптическийзумнауменьшение","H.264,HEVC",Перечисление,нет,12Мп,SonyIMX514,2.2,есть,"1920x1080(60кадр./сек.),3840×2160(60кадр./сек.)",134,Перечисление,Перечисление,есть,"MP3,AAC,FLAC,PCM,AAC‑LC,HE‑AAC,HE‑AACv2,AppleLossless",5.0,Перечисление,есть,"ГЛОНАСС,GPS,A-GPS,BeiDou,Galileo,QZSS",нет,Lightning8-pin,Lightning8-pin,нет,нет,"документация,скрепкадляизвлеченияслотаSIM-карты,кабельLightning",распознаваниелица,Перечисление,Li-Ion,нет,есть,есть,75ч,19ч,71.5мм,146.7мм,7.7мм,173г,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,смартфон,POCOM4Pro4G,2022,черный,черный,черный,заряженныйчерный,"GSM900,GSM1800,GSM1900,GSM850","WCDMA2100,WCDMA900,WCDMA850,WCDMA1900",есть,"LTE2600(B7),LTE700(B28),LTE800(B20),LTE2100(B1),LTE900(B8),LTE1800(B3),LTE1900(B2),LTE850(B5),LTE1700(B4)",нет,,Nano-SIM(12.3x8.8x0.67мм),2SIM,нет,"6.43""",2400x1080,409ppi,AMOLED,16млн,безрамочный,пластик,,,,Android,Android11,MediaTek,MediaTekHelioG96,8,2.05ГГц,12нм,Mali-G57MC2,256ГБ,есть(отдельныйслот),Перечисление,3,64+8+2Мп,"GalaxyCoreGC02M1,SonyIMX355,OmniVisionOV64B","2.2,2.4,1.8",есть,нет,,,,Перечисление,"HD,FullHD","1920x1080(30кадр./сек.),1280x720(30кадр./сек.)",1280x720(120кадр./сек.),,"AVI,MKV,MP4,M4V,3GP,3G2,WMV,ASF,WEBM",,нет,16Мп,SonyIMX471,2.4,,,,,Перечисление,есть,,5.0,Перечисление,есть,"ГЛОНАСС,GPS,A-GPS,BeiDou,Galileo",есть,USBType-C,MiniJack3.5мм,нет,есть,"чехол,документация,зарядноеустройство,скрепкадляизвлеченияслотаSIM-карты,кабельUSBType-C","распознаваниелица,сканеротпечатковпальцев(сбокукорпуса)",оболочкаMIUI,,,,нет,140ч,22ч,73.87мм,159.9мм,8.1мм,180г,12мес.,[MZB0B1NRU],,,,90Гц,,"6xCortex-A55,2xCortex-A762.05ГГц",8Гб,microSD,,,светодиодная,нет,,,есть,,5000мА*ч,33Вт,,,31ч,,,,,,,,,,
